tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
1,1970,1,0.969793753,0.912354881,0.90867679,0.90867679,0.86836959,0.906020214,0.881584023,0.956605224,1.021183156,1.025551829,0.882275651,0.866986849,0.887766831,0.945359479,0.867806621,0.842111215,0.891183434,0.892018921,0.882068292,0.937436893,0.954634566,0.967511864,0.967511864,0.875553315,0.853161112,0.783251601,0.748457763,0.945099709,0.869559027,0.912744859,0.849951451
2,1970,2,0.892856272,0.839974247,0.86393374,0.86393374,0.824023752,0.859751637,0.836981578,0.920523173,0.969355884,0.963254574,0.826881578,0.803528105,0.822787105,0.905029763,0.825076009,0.789338226,0.835335213,0.830887127,0.838635438,0.871593101,0.906199903,0.919871787,0.919871787,0.832441257,0.809996681,0.725877097,0.693631967,0.909649048,0.821259897,0.867801498,0.805975063
3,1970,3,0.887342571,0.834787111,0.860676398,0.860676398,0.820799213,0.856387289,0.83373737,0.917875127,0.965586563,0.958752745,0.822883734,0.798933265,0.818082135,0.902080557,0.821965175,0.785476267,0.831248206,0.82644978,0.83547348,0.866844965,0.902677285,0.916403539,0.916403539,0.829302653,0.806857069,0.721729017,0.689668154,0.90704693,0.817758068,0.864529574,0.802778792
4,1970,4,0.876407819,0.824500002,0.854195296,0.854195296,0.814384958,0.849694926,0.82728358,0.912597691,0.958088312,0.949809099,0.81494343,0.789802342,0.808732362,0.896207188,0.815775578,0.777785588,0.82310937,0.817627293,0.829182162,0.857416505,0.89566978,0.909502798,0.909502798,0.823057803,0.800611354,0.713488343,0.68179355,0.901860862,0.810796369,0.858019456,0.796421341
5,1970,5,0.932330022,0.877110049,0.887051166,0.887051166,0.846923579,0.88364435,0.860017129,0.939233355,0.996121547,0.995335011,0.855390769,0.836240293,0.85628334,0.92590885,0.847153667,0.816674341,0.864264281,0.862434693,0.861075924,0.905469716,0.931213604,0.944486022,0.944486022,0.854715997,0.83228955,0.755432737,0.721874677,0.928033131,0.846168768,0.891022419,0.828679635
6,1970,6,1.017282177,0.957030665,0.935676149,0.935676149,0.895176884,0.933989814,0.90853406,0.978117613,1.052503449,1.063555532,0.916131606,0.905535815,0.92723974,0.969534408,0.893591611,0.873643603,0.924553304,0.929020969,0.908277036,0.977708265,0.983904185,0.996259379,0.996259379,0.901568481,0.87924226,0.818184813,0.781839162,0.966230605,0.898880963,0.939865092,0.876552638
7,1970,7,1.095743109,1.030844518,0.979351162,0.979351162,0.938616124,0.979312486,0.952185165,1.012504998,1.103240642,1.125681232,0.971576667,0.968170275,0.991375426,1.008386678,0.935302224,0.923993375,0.977837101,0.98893686,0.950673128,1.043657243,1.031318693,1.042762266,1.042762266,0.943651434,0.921486021,0.875077688,0.836204724,1,0.946591399,0.983735635,0.919684966
8,1970,8,1.176703638,1.107009923,1.023309674,1.023309674,0.982430014,1.025026051,0.996188736,1.04660238,1.154396866,1.189015927,1.028223931,1.031394745,1.056115263,1.047176397,0.977283585,0.973645743,1.030382854,1.04916824,0.993344417,1.110973321,1.079123918,1.089567007,1.089567007,0.986007552,0.964070885,0.932677385,0.89124571,1.03347412,0.994956114,1.027890945,0.963222727
9,1970,9,1.22718544,1.154501792,1.050200125,1.050200125,1.009277599,1.053037689,1.023140764,1.067205281,1.185734458,1.228156292,1.063291768,1.070081983,1.095729758,1.070749525,1.002964565,1.003409892,1.061881445,1.085903403,1.019447443,1.152585118,1.108408307,1.118198562,1.118198562,1.01191778,0.99015396,0.968008533,0.925007367,1.053695019,1.024711527,1.054901782,0.989917522
10,1970,10,1.246413987,1.172591472,1.060344256,1.060344256,1.01941454,1.063614146,1.033314823,1.074926736,1.197564918,1.242999801,1.076602606,1.084667531,1.110664893,1.079611507,1.012652437,1.014503234,1.073621227,1.099729422,1.029294526,1.168363807,1.119463564,1.128999506,1.128999506,1.021692133,1,0.981345744,0.937752109,1.061272202,1.035969826,1.065091327,1
11,1970,11,1.265905409,1.190928458,1.070573598,1.070573598,1.029641615,1.074284645,1.043578062,1.082684691,1.209499576,1.258011404,1.090070696,1.099367153,1.125716837,1.088530836,1.022421687,1.025610092,1.085375313,1.113650531,1.039224326,1.184318652,1.130616145,1.139891179,1.139891179,1.031548591,1.009932345,0.994796652,0.950605496,1.068884574,1.047341219,1.075366466,1.010173915
12,1970,12,1.157028554,1.088500153,1.012724032,1.012724032,0.971870734,1.014008944,0.985585931,1.038438581,1.142069753,1.173690633,1.014505653,1.016162762,1.040518199,1.037864262,0.96717406,0.961795628,1.017842198,1.034679824,0.983068751,1.094680779,1.067604374,1.078295965,1.078295965,0.975807782,0.953809921,0.918784662,0.877970134,1.025460537,0.983277937,1.017257912,0.952726948
13,1971,1,0.965037704,0.907880522,0.905947748,0.905947748,0.865661945,0.903195172,0.878861446,0.954419925,1.018019282,1.021727659,0.87887148,0.863099852,0.88378667,0.942909206,0.865200325,0.838909378,0.887795016,0.888282415,0.879419163,0.933388395,0.951677825,0.964606121,0.964606121,0.872923752,0.850526312,0.779732598,0.745095083,0.942952948,0.866602589,0.910003599,0.84726534
14,1971,2,0.8359644,0.786451963,0.829971811,0.829971811,0.790430067,0.824701402,0.803176163,0.892770478,0.93008132,0.916542681,0.785433749,0.755818728,0.773934227,0.874191552,0.792641609,0.748974796,0.792619691,0.784737558,0.805668006,0.822403504,0.86949562,0.883710889,0.883710889,0.799717323,0.777281178,0.682846189,0.652512591,0.88237497,0.784846015,0.833687524,0.772685375
15,1971,3,0.784361155,0.737905071,0.798451394,0.798451394,0.759303969,0.792225744,0.771840216,0.866725338,0.89368106,0.873638894,0.747433983,0.711979079,0.729043828,0.845391846,0.762538907,0.711375788,0.752829682,0.742178259,0.775070591,0.777396422,0.835477039,0.850149585,0.850149585,0.769345901,0.746955525,0.643380636,0.614800189,0.856773563,0.751244194,0.802025993,0.741859958
16,1971,4,0.791266972,0.744401871,0.802711508,0.802711508,0.763507796,0.796611841,0.776073165,0.870261851,0.898597808,0.879411967,0.752543234,0.717876729,0.735082832,0.849294425,0.766607411,0.716462091,0.758212377,0.747912531,0.779205958,0.783441754,0.840072111,0.854685534,0.854685534,0.773450724,0.751052001,0.648685795,0.61986968,0.860250131,0.755774568,0.80630518,0.746022092
17,1971,5,0.817407369,0.768994026,0.818718662,0.818718662,0.779311836,0.813101109,0.791984501,0.883504159,0.91708034,0.901175486,0.771815329,0.740114941,0.757854051,0.863929643,0.7818946,0.735562215,0.778425521,0.769509725,0.794744379,0.806262319,0.857345353,0.87172912,0.87172912,0.788874378,0.766450343,0.668701169,0.638995925,0.873267121,0.772828144,0.822383996,0.761672425
18,1971,6,0.898401043,0.845190613,0.867202312,0.867202312,0.827259943,0.863128142,0.840237369,0.923177434,0.973138718,0.967776513,0.830897989,0.808142533,0.827512131,0.90798733,0.828197569,0.793211158,0.839433831,0.835341864,0.841808298,0.876363938,0.909735144,0.923351994,0.923351994,0.835590682,0.813147504,0.730043692,0.697613472,0.912257217,0.824775776,0.871084704,0.809183076
19,1971,7,0.96385198,0.906765026,0.905266646,0.905266646,0.86498624,0.90249017,0.878182,0.953874216,1.017229712,1.020773733,0.878022396,0.86213005,0.882793624,0.942297485,0.864549857,0.838109891,0.886948941,0.887350002,0.878758005,0.932378631,0.950939946,0.963880919,0.963880919,0.872267478,0.849868772,0.778854707,0.744256189,0.942416857,0.865864946,0.909319448,0.84659503
20,1971,8,1.041164592,0.979498573,0.949089169,0.949089169,0.908507681,0.947898606,0.921932418,0.988732365,1.068075835,1.082549733,0.933070299,0.924741136,0.946905375,0.981499591,0.906401345,0.889200488,0.941016733,0.947419325,0.921297287,0.997858474,0.998456857,1.010540867,1.010540867,0.914492564,0.892208645,0.835611918,0.798492114,0.976655686,0.913496824,0.953338161,0.889785709
21,1971,9,1.106423125,1.040891979,0.985211859,0.985211859,0.944452183,0.985401584,0.958047874,1.017080754,1.110055778,1.134078623,0.979080335,0.976592973,1,1.013576467,0.94089932,0.93067771,0.984910951,0.996975086,0.956362208,1.052579233,1.037687452,1.049002431,1.049002431,0.949298494,0.927159712,0.882741077,0.843527688,1.004492738,0.953019628,0.989622569,0.925482316
22,1971,10,1.14315333,1.07544673,1.005222097,1.005222097,0.964390729,1.006204622,0.978074254,1.032634827,1.133336798,1.162858036,1.004813234,1.005369391,1.029466132,1.031253782,0.960009545,0.95335494,1.008909648,1.024404746,0.975786492,1.083165481,1.059443499,1.070308294,1.070308294,0.96857931,0.946540427,0.908946397,0.868568907,1.019763189,0.975013812,1.009722391,0.945293094
23,1971,11,1.132159317,1.065103869,0.999255949,0.999255949,0.958443946,1,0.972101794,1.028008479,1.126393506,1.15425983,0.997122561,0.996787143,1.020678184,1.025990039,0.95431174,0.946617894,1.001780015,1.016229506,0.969995049,1.074026248,1.052955031,1.063955849,1.063955849,0.962830643,0.940760524,0.9011272,0.861097058,1.015221433,0.968448667,1.003729533,0.939383695
24,1971,12,1.028533064,0.967615184,0.942008341,0.942008341,0.901469171,0.940554922,0.914858519,0.98313474,1.059854009,1.072513126,0.92411839,0.914598547,0.936519688,0.975186772,0.899638996,0.880997516,0.93233575,0.937705875,0.914423805,0.987209369,0.990773425,1.003001568,1.003001568,0.907669849,0.885362813,0.826406493,0.789695616,0.971158202,0.905776967,0.946225632,0.882798405
