tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
1,1970,1,0.992068959,1.004968486,0.959025402,0.959025402,0.953078419,0.962758621,0.955055436,0.955722048,0.99069395,0.986473766,0.98583408,1.003218683,1.000602316,0.958767567,0.946451278,0.97533042,0.980663032,0.992973029,0.950893056,0.992287997,0.974412,0.976364778,0.976364778,0.948871437,0.947236612,1.014267034,1.018005621,0.947140733,0.967338733,0.960251838,0.950813649
2,1970,2,1.009777303,1.022907086,0.945246387,0.945246387,0.941194601,0.950754101,0.942675691,0.930712492,0.97801568,0.984210489,0.985713535,1.014361985,1.011716556,0.938498042,0.932852924,0.975088425,0.980419713,0.998976803,0.937230885,1.000119536,0.961926044,0.962336636,0.962336636,0.935238312,0.934958217,1.025596247,1.029376594,0.922155561,0.95980486,0.946455202,0.939623429
3,1970,3,1.011124846,1.024272151,0.944222857,0.944222857,0.940310245,0.949860763,0.941754883,0.928871438,0.977072515,0.984036913,0.985699419,1.015248775,1.012601034,0.937000564,0.931842814,0.975131107,0.980462629,0.999470334,0.936216034,1.000721442,0.9609972,0.9612946,0.9612946,0.934225619,0.934044947,1.026488982,1.030272619,0.920316572,0.959240849,0.945430363,0.938790083
4,1970,4,1.013830679,1.027013167,0.942177655,0.942177655,0.938542467,0.94807503,0.93991443,0.92519956,0.97518731,0.983687738,0.985668978,1.017044917,1.014392491,0.934011717,0.929824428,0.975240569,0.980572689,1.000475755,0.934188175,1.001932282,0.959140628,0.95921242,0.95921242,0.932202071,0.932219561,1.028293639,1.032083928,0.916648923,0.958112001,0.943382545,0.937124016
5,1970,5,1.000445346,1.013453788,0.952429129,0.952429129,0.947394398,0.957016868,0.949132806,0.943697143,0.984628979,0.985407054,0.985792152,1.008367468,1.005737672,0.9490386,0.93994149,0.975021303,0.980352225,0.995696762,0.944352718,0.995973181,0.96843898,0.969649243,0.969649243,0.942345004,0.941362469,1.019529026,1.023287008,0.935126698,0.963745689,0.953647129,0.945463256
6,1970,6,0.98206377,0.994833204,0.967105536,0.967105536,0.960028809,0.969779604,0.962301053,0.970584064,0.998112532,0.987740508,0.985848403,0.997383943,0.994782792,0.970749048,0.95442547,0.976217981,0.981555445,0.990024369,0.958904672,0.987939557,0.981718226,0.984591002,0.984591002,0.95686602,0.95442291,1.008235698,1.011952053,0.961991504,0.97170703,0.968342305,0.957351469
7,1970,7,0.966870164,0.97944204,0.979843615,0.979843615,0.970959009,0.980820819,0.973703082,0.994312368,1.009784186,0.989654018,0.985795222,0.989263626,0.986683653,0.989780474,0.966996536,0.978831705,0.984183459,0.986276349,0.971534735,0.981471181,0.993213363,0.997559388,0.997559388,0.969469231,0.965731594,0.999683801,1.003368635,0.985706924,0.978522363,0.981096674,0.967622824
8,1970,8,0.952714183,0.965101994,0.992295336,0.992295336,0.981612554,0.99158257,0.98482519,1.017867198,1.021166357,0.991434358,0.985664006,0.982633782,0.9800711,1.008553537,0.979284997,0.982943909,0.988318147,0.983727626,0.983880867,0.975628848,1.004423684,1.010236239,1.010236239,0.981789116,0.976762648,0.992500282,0.996158637,1.00925526,0.985104276,0.993564318,0.977622729
9,1970,9,0.944572518,0.956854466,0.999750747,0.999750747,0.987977069,0.998011728,0.991473613,1.032144836,1.027968884,0.992461738,0.985552869,0.979299034,0.976745049,1.019874383,0.986642658,0.986204772,0.991596839,0.98275346,0.991273058,0.972368829,1.011123639,1.017826445,1.017826445,0.98916559,0.983356641,0.988777721,0.992422355,1.023532113,0.989009083,1.001029263,0.983591511
10,1970,10,0.941597754,0.953841022,1.002534075,1.002534075,0.99035045,1.000409215,0.993953614,1.03750924,1.030506116,0.99283843,0.985505789,0.97817817,0.975627108,1.024116345,0.989389493,0.987584512,0.992984123,0.982499097,0.994032784,0.971198871,1.013622638,1.020660097,1.020660097,0.991919449,0.985816339,0.987502134,0.991142066,1.028896854,0.990460189,1.003816151,0.985816339
