"Year","Group","Type","Stdev","SE","Value","Scale"
2002,"arrowtooth_adu",NA,5426.60899664066,556.758335578385,42508.2163417215,3.05590876767729e-05
2004,"arrowtooth_adu",NA,5732.67398015575,422.618332816222,53744.9849703268,3.05590876767729e-05
2008,"arrowtooth_adu",NA,8793.44168388074,713.242303294809,68316.7132038312,3.05590876767729e-05
2010,"arrowtooth_adu",NA,10919.8943147548,855.312133479582,74065.3971002328,3.05590876767729e-05
2012,"arrowtooth_adu",NA,13081.0767296043,1090.08972746703,72844.9116851979,3.05590876767729e-05
2016,"arrowtooth_adu",NA,5373.39937712601,482.5455090196,45525.2754918609,3.05590876767729e-05
2002,"atka",NA,1.81753577517782,0.428397290559128,1.87022888333333,3.05590876767729e-05
2004,"atka",NA,8.54154283214366,1.48689175446476,16.7840326181818,3.05590876767729e-05
2008,"atka",NA,15.3816753644825,2.03735267261273,35.0746839137143,3.05590876767729e-05
2010,"atka",NA,0.741570371153958,0.331640352,0.82910088,3.05590876767729e-05
2012,"atka",NA,21.9511674317772,4.22450414192104,38.214706,3.05590876767729e-05
2016,"atka",NA,8.64941852279951,2.16235463069988,16.2564489933333,3.05590876767729e-05
2002,"bairdi",NA,495.973234030319,58.861193710227,1576.73270319792,3.05590876767729e-05
2004,"bairdi",NA,370.094840258471,33.7848820709726,787.298813347191,3.05590876767729e-05
2008,"bairdi",NA,161.865488555046,15.6481274103366,508.845753897857,3.05590876767729e-05
2010,"bairdi",NA,598.599540789656,49.2045791536357,2202.5858863517,3.05590876767729e-05
2012,"bairdi",NA,141.04904359608,13.9659363955868,612.998534733849,3.05590876767729e-05
2016,"bairdi",NA,176.673159176402,19.6303510196002,642.900832050077,3.05590876767729e-05
2002,"ben_zooplankton",NA,74.5767748137021,6.51580306874282,146.281038301389,3.05590876767729e-05
2004,"ben_zooplankton",NA,30.4857790153263,2.07429452774434,76.3189169815748,3.05590876767729e-05
2008,"ben_zooplankton",NA,520.393614841459,38.0549500225394,639.706622565082,3.05590876767729e-05
2010,"ben_zooplankton",NA,10.1105905347487,0.718528381595556,45.3960351068407,3.05590876767729e-05
2012,"ben_zooplankton",NA,21.2164595559909,1.70967103255332,91.0599543168737,3.05590876767729e-05
2016,"ben_zooplankton",NA,182.676764266808,13.9289726918372,253.689658299552,3.05590876767729e-05
2002,"deep_demersals",NA,40812.0177015736,3579.45074092656,476312.82956616,3.05590876767729e-05
2004,"deep_demersals",NA,69511.9050126066,4675.87673608363,715212.775755624,3.05590876767729e-05
2008,"deep_demersals",NA,47400.8941807309,3368.6348650761,503464.25097546,3.05590876767729e-05
2010,"deep_demersals",NA,69995.4463175852,4986.96906271504,737632.217892109,3.05590876767729e-05
2012,"deep_demersals",NA,59062.0247993858,4698.7224047319,615326.927580392,3.05590876767729e-05
2016,"deep_demersals",NA,49523.0905606954,4057.08965900768,561064.636075118,3.05590876767729e-05
2002,"eelpouts",NA,3927.61013676228,333.13554381006,16089.7901387695,3.05590876767729e-05
2004,"eelpouts",NA,3146.42471607331,207.019547500374,21151.8780675954,3.05590876767729e-05
2008,"eelpouts",NA,2282.54302466383,161.400165108985,15070.7367689633,3.05590876767729e-05
2010,"eelpouts",NA,7706.17937564024,571.22001962612,31288.9021249806,3.05590876767729e-05
2012,"eelpouts",NA,5288.82871725983,397.532709811565,17157.1943898312,3.05590876767729e-05
2016,"eelpouts",NA,2619.27329823256,199.717716645415,14511.2720810772,3.05590876767729e-05
2008,"euphausiids",NA,0,0,0,3.05590876767729e-05
2012,"euphausiids",NA,0,0,0,3.05590876767729e-05
2002,"fh_sole",NA,3100.99209841738,344.554677601931,22073.8391194819,3.05590876767729e-05
2004,"fh_sole",NA,2138.49824154433,168.537271788511,22506.489088603,3.05590876767729e-05
2008,"fh_sole",NA,2134.80988759954,189.433745012734,18639.8018435753,3.05590876767729e-05
2010,"fh_sole",NA,2315.83786572353,202.335693785189,20499.9666965915,3.05590876767729e-05
2012,"fh_sole",NA,2455.64229734046,233.079252122874,22115.5027454309,3.05590876767729e-05
2016,"fh_sole",NA,2104.27881570794,212.564260013468,19299.7045082989,3.05590876767729e-05
2002,"gr_turbot_adu",NA,3170.29359760573,269.873312938453,27028.6776370796,3.05590876767729e-05
2004,"gr_turbot_adu",NA,11252.9264776234,756.953749433799,36556.9608945755,3.05590876767729e-05
2008,"gr_turbot_adu",NA,2181.12214728911,160.794458004538,17426.3027590051,3.05590876767729e-05
2010,"gr_turbot_adu",NA,1872.04443430927,134.404957490727,19872.796701653,3.05590876767729e-05
2012,"gr_turbot_adu",NA,1850.13900426367,137.14142726385,17922.4000146945,3.05590876767729e-05
2016,"gr_turbot_adu",NA,4198.01599993957,327.80997558956,23573.149816042,3.05590876767729e-05
2002,"halibut_adu",NA,1339.99596678584,146.205546398372,8004.02400138661,3.05590876767729e-05
2004,"halibut_adu",NA,692.508382616607,57.7090318847172,4529.93761622874,3.05590876767729e-05
2008,"halibut_adu",NA,1106.18461897452,98.9401601476691,7985.11483156922,3.05590876767729e-05
2010,"halibut_adu",NA,746.047478188653,64.9350981173702,4818.63458897662,3.05590876767729e-05
2012,"halibut_adu",NA,1503.28166163335,142.685180900739,7308.41198537128,3.05590876767729e-05
2016,"halibut_adu",NA,720.651741802883,75.9633634621563,4665.60797347201,3.05590876767729e-05
2002,"herb_echinoderms",NA,1986.03216105696,168.453049299691,6846.73361447692,3.05590876767729e-05
2004,"herb_echinoderms",NA,2900.95229977545,190.868648263469,18692.2034905761,3.05590876767729e-05
2008,"herb_echinoderms",NA,2011.54769219593,142.237901383189,8370.09444843115,3.05590876767729e-05
2010,"herb_echinoderms",NA,2379.89584939007,168.284049362143,18878.9225355553,3.05590876767729e-05
2012,"herb_echinoderms",NA,6534.32902166151,475.302497738264,37787.7196952196,3.05590876767729e-05
2016,"herb_echinoderms",NA,6548.58940652002,495.026828797829,35576.6528704677,3.05590876767729e-05
2002,"herring",NA,3.0068679050005,0.751716976250124,3.10547981875,3.05590876767729e-05
2004,"herring",NA,2.67496694578938,0.319719702263131,3.79023079140049,3.05590876767729e-05
2008,"herring",NA,27.0743719775071,5.41487439550142,27.632665188,3.05590876767729e-05
2010,"herring",NA,15.5337347964941,2.05749343640236,27.5497232511905,3.05590876767729e-05
2016,"herring",NA,2.50533707595066,0.590513611854262,3.57996136666667,3.05590876767729e-05
2002,"hybrid_chion",NA,4.51211568587918,0.79763689974584,9.90482802,3.05590876767729e-05
2008,"hybrid_chion",NA,10.0172461184008,1.36317453433097,12.62156164675,3.05590876767729e-05
2010,"hybrid_chion",NA,9.55716147349617,1.37945743735293,19.1040242974242,3.05590876767729e-05
2016,"hybrid_chion",NA,4.50616558340963,0.784422742108189,11.4261717166667,3.05590876767729e-05
2002,"infauna",NA,132.612429757804,11.586401784307,808.435798722183,3.05590876767729e-05
2004,"infauna",NA,37.268776345699,2.64191350851253,176.188946304975,3.05590876767729e-05
2008,"infauna",NA,37.2666289311503,2.6825106481949,177.121126957184,3.05590876767729e-05
2010,"infauna",NA,67.4100419726148,4.87761945130804,293.703281309853,3.05590876767729e-05
2012,"infauna",NA,598.013502638243,43.966827134917,963.359134447828,3.05590876767729e-05
2016,"infauna",NA,262.269781477575,20.1745985751981,509.972676901513,3.05590876767729e-05
2002,"jellyfish",NA,166.863993201885,14.0524832431798,1052.3225440504,3.05590876767729e-05
2004,"jellyfish",NA,70.4397043907586,4.63459228963647,779.931008906128,3.05590876767729e-05
2008,"jellyfish",NA,43.2196111184839,3.16053097924456,228.992358603499,3.05590876767729e-05
2010,"jellyfish",NA,58.5033759789978,4.18951377200816,304.925298998367,3.05590876767729e-05
2012,"jellyfish",NA,208.381698660629,15.1575382151716,603.742365878588,3.05590876767729e-05
