Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743763,0,43054,0,0,0,0,0,0,0,0,160399,0,0,0,0,0,15106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8654.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874534,0,42905,0,0,0,0,0,0,0,0,47856,0,0,0,0,0,12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12004.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758919,0,53386,0,0,0,0,0,0,0,0,78240,0,0,0,0,0,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218.4,12890.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588390,0,62462,0,0,0,0,0,0,0,0,42235,0,0,0,0,0,4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34918.9,22611.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356736,0,51551,0,0,0,0,0,0,0,0,64690,0,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25186,24385.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177822,0,50481,0,0,0,0,0,0,0,0,56221,0,0,0,0,0,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33779.4,32675.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978370,0,33335,0,0,0,0,0,0,0,0,58373,0,0,0,0,0,2718,0,0,2406,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,37750.8,35915.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979431,0,42543,7032.496104,0,0,0,0,0,0,0,138433,0,0,0,0,0,1193,0,0,2230,0,32,1069,99,0,0,0,0,0,0,0,0,0,0,0,22585,44864.64111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935714,0,33761,10093.33742,0,0,0,0,0,0,0,99019,0,0,0,0,0,1376,0,0,1722,0,46,279,477,0,0,0,0,0,0,0,0,0,0,0,21717.9,53056.52589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958280,0,45861,23279.26761,0,0,0,0,0,0,0,87391,0,0,0,0,0,2205,0,0,959,0,89,649,160,0,0,0,0,0,0,0,0,0,0,0,15117,64956.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
