Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743763,0,43054,0,0,18792,0,0,40464,0,0,160399,0,0,0,0,0,15106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20720,8654.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874534,0,42905,0,0,13123,0,0,64510,0,0,47856,0,0,0,0,0,12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16900,12004.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758919,0,53386,0,0,9217,0,0,55280,0,0,78240,0,0,0,0,0,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27218,12890.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588390,0,62462,0,0,21473,0,0,69654,0,0,42235,0,0,0,0,0,4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34919,22611.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356736,0,51551,0,0,20832,0,0,64819,0,0,64690,0,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25186,24385.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177822,0,50481,0,0,17806,0,0,60523,0,0,56221,0,0,0,0,0,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33779,32675.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978370,0,33335,0,0,9454,0,0,27708,0,0,58373,7909,5319,2589,0,0,2718,0,0,2406,52,5,0,2,0,0,0,0,4926,0,0,0,0,0,0,37751,35915.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979431,0,42543,7032.496104,0,8358,0,0,37423,0,0,138433,6892,7038,10420,0,0,1192,0,0,2230,304,32,1069,99,831,0,0,0,6886,0,0,0,0,0,0,22585,44864.64111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913881,0,33761,10093.33742,0,7921,0,0,34998,0,0,99017,4351,5874,13672,0,0,1376,0,0,1722,281,46,279,477,1985,0,0,0,4286,0,0,0,0,0,0,21718,53056.52589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958279,0,45861,23279.26761,0,13761,0,0,48856,0,0,87391,4897,8798,6902,0,0,2206,0,0,959,567,89,649,160,4955,0,0,0,4040,0,0,0,0,0,0,15117,64956.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973505,0,51996,12989.97829,0,13473,0,0,52921,0,0,97301,5213,9021,8653,0,0,2604,0,0,1186,337,35,441,283,3027,0,0,0,4182,0,0,0,0,0,0,6169,21674.31708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955964,0,55040,21433.14667,0,9103,0,0,45805,0,0,95712,4498,11843,6811,0,0,3184,0,0,205,365,71,242,124,328,0,0,0,3838,0,0,0,0,0,0,2750,7977.866663,13610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982363,0,83212,26236.68987,0,10216,0,0,43443,0,0,108385,5232,13619,10766,0,0,2695,0,0,192,210,42,145,53,141,0,0,0,3470,0,0,0,0,0,0,1086,6092.299301,13980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098783,0,110944,18961.97544,0,7980,0,0,21317,0,0,159526,4395,37679,18982,0,0,2329,0,0,314,119,32,54,79,57,0,0,0,2824,0,0,0,0,0,0,1944,4837.690207,33440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1179759,0,132736,26593.21347,0,7288,0,0,14698,0,0,227107,5626,18750,24888,0,0,2348,0,0,61,36,6,19,18,4,0,0,0,1611,0,0,0,0,0,0,319,3510.502867,49240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1188449,0,130555,18030.29671,0,6761,0,0,7710,0,3466,208597,5146,19611,46519,0,0,3518,0,0,670,99,61,18,52,12,0,0,0,848,0,0,0,0,0,0,518.9,5940.826629,50850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1237597,0,144539,16342.93309,0,4380,0,0,6533,0,3877,181429,3479,40822,18567,0,0,4178,0,0,1177,542,77,28,99,12,0,0,0,108,0,0,0,0,0,0,1509.6,6550.235821,67420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1228000,0,192726,14869.66507,0,5477,0,0,6064,0,4041,223156,6697,86366,61638,0,0,3193,0,0,1326,254,40,31,111,428,0,0,0,414,0,0,0,0,0,0,3550,4510.349729,74140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1230000,0,164800,13277.55585,0,3024,0,0,4061,0,3683,153165,3594,68912,14134,0,0,1252,0,0,2533,180,78,58,204,3126,0,0,0,300,0,0,0,0,0,0,11650,5360.20573,80800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1353000,0,162927,12756.83181,0,2773,0,0,7267,0,4648,80584,19264,35253,10926,0,0,2329,0,0,6499,395,247,116,369,480,0,0,0,460,0,0,0,0,0,0,22457,10954.50514,166360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1268360,0,165444,17025.13602,0,12748,0,0,3704,0,5600,94755,14176,46681,15003,0,0,1128,0,0,5099,239,626,205,106,2265,0,0,0,544,0,0,0,0,0,0,24021,11223.02641,157580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1384376,0,163240,30866.96078,0,11080,0,0,1875,0,5242,146942,14347,51720,18074,0,0,558,0,0,3255,201,309,79,77,2610,0,0,0,819,0,0,0,0,0,0,26675,5801.470606,124160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1301574,0,133156,21042.15004,0,7950,0,0,6330,0,4212,105809,13463,63942,13846,0,0,669,0,0,3764,142,859,221,146,201,0,0,0,597,0,0,0,0,0,0,12829,10494.15869,74910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,53.31,0,0,0,0,0,0,0,0,0,1362694,0,174151,32635.06384,0,13043,0,0,7211,0,4564,144544,16987,60276,10882,0,0,699,0,0,1688,123,61,46,22,190,0,0,0,502,0,0,0,0,0,0,7180,2567.432439,40890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,45.75,0,0,0,0,0,0,0,0,0,1264578,0,228496,29757.47384,0,8282,0,0,5855,0,3733,124746,14699,54672,19172,0,0,929,0,0,1208,257,266,49,28,340,0,0,0,364,0,0,0,0,0,0,4796,2790.153488,36590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,54.69,0,0,0,0,0,0,0,0,0,1189296,0,209201,29230.39951,0,13280,0,0,4699,0,4400,129509,17334,46775,16096,0,0,629,0,0,2855,164,87,87,34,780,0,0,0,1080,0,0,0,0,0,0,2814,6067.784282,62390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,41.4,0,0,0,0,0,0,0,368,0,1115268,0,209475,26240.3186,0,8580,0,0,6589,0,4709,166681,20656,67249,21236,0,16890,547,0,0,681,114,164,36,15,171,0,0,248,1438,0,0,0,0,0,0,1625,6961.277278,120960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,46.74,0,0,0,0,0,0,0,496,0,1101428,0,160681,26116.94148,0,14985,0,0,8303,0,4576,101310,24550,33221,14296,0,18189,586,0,0,956,155,45,52,16,901,0,5204,190,891,0,0,0,0,0,0,980,9414.837289,93310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,35.79,0,0,0,0,0,0,0,530,0,988703,0,146738,23570.47391,0,10585,0,0,5401,0,5315,69275,18534,40505,13997,0,13277,678,0,0,421,145,157,66,9,2267,0,4503,326,392,0,0,0,0,0,0,535,5676.585837,16090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,590,0,1132736,0,151372,21643.61353,0,12071,0,0,5888,0,5261,84057,20342,49186,14487,0,17068,742,0,0,451,239,97,130,26,239,0,5673,418,375,0,0,0,0,0,0,691.9,4050.564661,12490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,763,0,1387452,0,142452,23194.89943,0,12836,0,0,4252,0,5521,63563,17757,28949,8685,0,18061,863,0,0,896,295,180,57,15,264,0,6067,227,1761,0,0,0,0,0,0,1083.9,4283.580241,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,25.53,0,0,0,0,0,0,0,1363,0,1481815,0,166552,19215.07998,0,10821,0,0,3150,0,5048,74956,15464,40700,12176,2588,20583,1143,0,0,639,370,114,93,12,572,0,6043,374,1334,0,0,0,0,0,0,608,4648.494,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,19.62,0,0,0,0,0,0,0,589,0,1492039,0,174687,21796.92775,0,13667,0,0,2565,0,4764,81050,14132,36375,9978,2837,20474,1039,203,2869,1145,316,67,107,17,6362,3858,5184,269,1246,0,0,0,0,0,19,370.5,7718.362,11890,1,1,4031.46808,81.64237,170.31396,2248,14,6706,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,18.48,0,0,0,0,0,0,0,515,0,1480552,0,183745,19000.98438,0,17367,0,0,1825,0,4297,75502,17361,47862,7888,4754,21445,1041,96,2223,731,302,116,119,23,7159,543,5242,338,999,0,0,0,5,0,27,581.5,7439.916,12430,2,1,3223.9883,60.99062,107.27043,2205,20,7927,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,417,0,1483022,0,182936,22250.52012,0,13409,0,0,2140,0,5042,94383,16074,36814,11194,4566,22388,1070,88,2633,879,165,112,108,12,3540,612,5114,338,1169,0,0,1,0,0,14,1346.2,8987.34,18330,1,1,2869.07035,57.30717,126.17202,1268,10,6111,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,689,0,1488031,0,168814,22494.55281,0,11966,0,0,1453,0,4769,99156,17942,35878,17318,3123,19283,1079,58,2068,1041,149,246,47,7,3176,676,4907,351,1404,0,0,10,3,0,101,2178,7378.824,18690,2,4,2836.3826,40.14613,74.71404,866,6,2907,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,332,0,1354502,0,140129,16769.51212,0,11082,0,0,1481,0,5221,120962,18929,36364,19522,5699,17612,1182,169,1632,870,217,70,114,11,3005,833,6505,181,1175,0,0,6,1,0,182,2415,9728.159,31310,2,3,2715.03075,60.07711,123.40135,286,4,2632,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,15.03,0,0,0,0,0,0,0,194,0,990587,0,139802,20226.98818,0,18897,0,0,2089,0,5056,148893,24521,50934,17376,3578,20276,1141,79,2820,513,214,22,41,22,392,401,6682,212,1493,0,0,2,0,0,15,1757,9536.344,28810,2,2,2696.52121,40.82279,74.18191,558,13,4557,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,13.65,0,0,0,0,0,0,0,151,0,810857,0,147174,20114.50314,0,19212,0,0,2252,0,4415,107512,19535,48145,13944,2132,19390,916,46,2902,623,193,48,69,13,244,357,5915,72,269,0,0,0,0,0,5,1381,7686.037126,23490,1,2,1053.27172,20.71597,37.3858,570,11,8651,0,0,0,0,0,0,0,0,0,0
