Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743763,NA,43054,NA,NA,NA,NA,NA,NA,NA,NA,160399,NA,NA,NA,NA,NA,15106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8654.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874534,NA,42905,NA,NA,NA,NA,NA,NA,NA,NA,47856,NA,NA,NA,NA,NA,12758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12004.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1758919,NA,53386,NA,NA,NA,NA,NA,NA,NA,NA,78240,NA,NA,NA,NA,NA,5957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27218.4,12890.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1588390,NA,62462,NA,NA,NA,NA,NA,NA,NA,NA,42235,NA,NA,NA,NA,NA,4258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34918.9,22611.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1356736,NA,51551,NA,NA,NA,NA,NA,NA,NA,NA,64690,NA,NA,NA,NA,NA,2766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25186,24385.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177822,NA,50481,NA,NA,NA,NA,NA,NA,NA,NA,56221,NA,NA,NA,NA,NA,2923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33779.4,32675.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978370,NA,33335,NA,NA,NA,NA,NA,NA,NA,NA,58373,NA,NA,NA,NA,NA,2718,NA,NA,2406,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37750.8,35915.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,979431,NA,42543,7032.496104,NA,NA,NA,NA,NA,NA,NA,138433,NA,NA,NA,NA,NA,1193,NA,NA,2230,NA,32,1069,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22585,44864.64111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935714,NA,33761,10093.33742,NA,NA,NA,NA,NA,NA,NA,99019,NA,NA,NA,NA,NA,1376,NA,NA,1722,NA,46,279,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21717.9,53056.52589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958280,NA,45861,23279.26761,NA,NA,NA,NA,NA,NA,NA,87391,NA,NA,NA,NA,NA,2205,NA,NA,959,NA,89,649,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15117,64956.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973502,NA,56507,12989.97829,NA,NA,NA,NA,NA,NA,NA,97301,NA,NA,NA,NA,NA,2605,NA,NA,1186,NA,35,441,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6169.3,21674.31708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
