"Year","Group","Type","Stdev","SE","Value","Scale"
1982,"ak_plaice",NA,64078.9543248327,3506.24438149517,713657.097939398,1.87581363416382e-06
1983,"ak_plaice",NA,58175.1650063583,3096.35160596363,652309.138792482,1.87581363416382e-06
1984,"ak_plaice",NA,112077.78239393,5948.47105609385,773064.644712923,1.87581363416382e-06
1985,"ak_plaice",NA,60136.6375650403,3200.75025625478,583143.188821122,1.87581363416382e-06
1986,"ak_plaice",NA,61781.9834463646,3283.67537231588,552402.280363149,1.87581363416382e-06
1987,"ak_plaice",NA,55216.6136702811,3016.80587496166,549917.403026419,1.87581363416382e-06
1988,"ak_plaice",NA,137551.658190749,7122.15488955723,682762.413494969,1.87581363416382e-06
1989,"ak_plaice",NA,55081.1860140322,2851.99570439517,514826.92944746,1.87581363416382e-06
1990,"ak_plaice",NA,45414.6047533167,2445.04012883105,496003.431564943,1.87581363416382e-06
1991,"ak_plaice",NA,48933.9281004763,2611.89985505338,529361.759825558,1.87581363416382e-06
1992,"ak_plaice",NA,54704.3069904167,2899.32247185294,518962.283620665,1.87581363416382e-06
1993,"ak_plaice",NA,49036.9624526566,2621.13589694199,516152.347922203,1.87581363416382e-06
1994,"ak_plaice",NA,51999.3213377148,2681.66024093786,625855.891165887,1.87581363416382e-06
1995,"ak_plaice",NA,61653.0353041885,3290.79557324652,554539.785527128,1.87581363416382e-06
1996,"ak_plaice",NA,66408.2397997428,3549.66972841947,530817.157107497,1.87581363416382e-06
1997,"ak_plaice",NA,70606.3722259256,3774.06934560636,637600.698776239,1.87581363416382e-06
1998,"ak_plaice",NA,58337.1520395603,3122.71615482895,456509.719325659,1.87581363416382e-06
1999,"ak_plaice",NA,39930.6380590894,2140.50687936104,480636.813248107,1.87581363416382e-06
2000,"ak_plaice",NA,67142.0039451507,3599.18920218624,444724.923862441,1.87581363416382e-06
2001,"ak_plaice",NA,67763.8489763897,3627.31567301167,546384.92726295,1.87581363416382e-06
2002,"ak_plaice",NA,52456.955843362,2803.94223312843,425314.822934562,1.87581363416382e-06
2003,"ak_plaice",NA,94056.4260551826,5027.52744747044,461525.737993321,1.87581363416382e-06
2004,"ak_plaice",NA,62530.4827974627,3347.18000406457,481917.581518419,1.87581363416382e-06
2005,"ak_plaice",NA,54415.4543242728,2921.17464299239,507389.109389718,1.87581363416382e-06
2006,"ak_plaice",NA,80152.1405597227,4133.53103532096,637869.5712004,1.87581363416382e-06
2007,"ak_plaice",NA,36618.8318623494,1957.35889618275,423632.38287452,1.87581363416382e-06
2008,"ak_plaice",NA,46424.9580100794,2485.07102758497,509993.231967018,1.87581363416382e-06
2009,"ak_plaice",NA,49352.413618696,2637.99747102167,530665.924049268,1.87581363416382e-06
2010,"ak_plaice",NA,45300.7579528024,2421.42736600802,499106.714482464,1.87581363416382e-06
2011,"ak_plaice",NA,71219.1149927756,3806.8218241746,520620.062945524,1.87581363416382e-06
2012,"ak_plaice",NA,82279.7355370463,4398.03686077137,583514.811123814,1.87581363416382e-06
2013,"ak_plaice",NA,63371.1740327799,3387.33173468983,506465.182054094,1.87581363416382e-06
2014,"ak_plaice",NA,47004.5600450325,2512.4994186365,452758.169075553,1.87581363416382e-06
2015,"ak_plaice",NA,37243.4683397705,1990.74712032262,356437.715479658,1.87581363416382e-06
2016,"ak_plaice",NA,39858.1547355278,2055.52738154469,425196.587167877,1.87581363416382e-06
2017,"ak_plaice",NA,51649.3168376977,2663.61013705767,491360.620237867,1.87581363416382e-06
2018,"ak_plaice",NA,36808.3941501421,1898.24798835622,420012.258932348,1.87581363416382e-06
2019,"ak_plaice",NA,28653.9782168722,1477.71609613593,368620.699100323,1.87581363416382e-06
2021,"ak_plaice",NA,28194.8710503812,1454.03945184451,333845.30819906,1.87581363416382e-06
2022,"ak_plaice",NA,41730.0682508672,2152.0639500887,384019.113703081,1.87581363416382e-06
2023,"ak_plaice",NA,42190.1946220863,2477.49353473496,357786.055793529,1.87581363416382e-06
1982,"ak_skate",NA,13248.6067675326,759.859711083996,82477.4653771818,1.87581363416382e-06
1983,"ak_skate",NA,7350.83708586922,391.24558071336,88058.173668433,1.87581363416382e-06
1984,"ak_skate",NA,14426.7823682408,765.694105620469,176740.928743303,1.87581363416382e-06
1985,"ak_skate",NA,18007.6286629228,951.732748010748,155316.617564679,1.87581363416382e-06
1986,"ak_skate",NA,17712.5954391787,997.991693180452,111731.499495286,1.87581363416382e-06
1987,"ak_skate",NA,17323.9560989649,913.052655958243,193715.593849092,1.87581363416382e-06
1988,"ak_skate",NA,21915.2395902477,1134.72809311431,226237.422395533,1.87581363416382e-06
1989,"ak_skate",NA,92838.1012869732,4806.97467202684,461758.126340489,1.87581363416382e-06
1990,"ak_skate",NA,52186.6066945115,2709.39362144439,485721.844299094,1.87581363416382e-06
1991,"ak_skate",NA,35347.6234147205,1832.68890022937,385715.561560322,1.87581363416382e-06
1992,"ak_skate",NA,33623.2527863476,1782.02883362232,398203.448506303,1.87581363416382e-06
1993,"ak_skate",NA,24396.874975279,1259.84920638346,390822.381618109,1.87581363416382e-06
1994,"ak_skate",NA,30563.8165720337,1576.20848895761,407529.284645058,1.87581363416382e-06
1995,"ak_skate",NA,27168.162579955,1401.09100533893,362837.108711461,1.87581363416382e-06
1996,"ak_skate",NA,20299.1401999264,1048.24309248859,358461.017900467,1.87581363416382e-06
1997,"ak_skate",NA,21874.4499674392,1128.08862233209,347088.456517863,1.87581363416382e-06
1998,"ak_skate",NA,18397.8112735741,950.058888922928,361805.634735279,1.87581363416382e-06
1999,"ak_skate",NA,56085.4056173638,2903.99222448175,328623.876165654,1.87581363416382e-06
2000,"ak_skate",NA,16847.0177145658,873.477178513624,314390.518341244,1.87581363416382e-06
2001,"ak_skate",NA,23719.5276854234,1224.87114274067,415025.78703894,1.87581363416382e-06
2002,"ak_skate",NA,23573.6885136993,1217.34004029651,364854.659732645,1.87581363416382e-06
