not_shelf_survey,not_slope_survey
sharks,sharks
oth_skate,pollock_juv
deep_demersals,pollock_adu
pac_ocean_perch,pcod_juv
oth_rockfish,pcod_adu
north_rockfish,herring
shortraker_rock,halibut_juv
rougheye_rock,yf_sole
atka,nr_sole
squids,ak_plaice
salmon_returning,oth_flatfish
salmon_smolts,ak_skate
mycto_bathy,sablefish_juv
ben_zooplankton,eelpouts
infauna,atka
,shallow_demersals
,squids
,salmon_returning
,salmon_smolts
,capelin
,sandlance
,oth_forage
,bairdi
,king_crabs
,opilio
,pandalid
,ben_zooplankton
,snails_sea_stars
,herb_echinoderms
,misc_crabs
,structural_epifauna
,infauna
,jellyfish
