"","Year","Group","Type","Stdev","SE","Value","Scale","CV","Species","Loc","n","Source"
"1",1985,"auklets",NA,"64",NA,1063,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"2",1986,"auklets",NA,NA,NA,972,1.88e-06,NA,"LEAU","st_george",1,"colony_count_st_george_LEAU"
"3",1987,"auklets",NA,"82",NA,1040,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"4",1999,"auklets",NA,NA,NA,591,1.88e-06,NA,"LEAU","st_george",1,"colony_count_st_george_LEAU"
"5",2002,"auklets",NA,"173",NA,777,1.88e-06,NA,"LEAU","st_george",4,"colony_count_st_george_LEAU"
"6",2003,"auklets",NA,"89",NA,961,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"7",2004,"auklets",NA,"71",NA,658,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"8",2005,"auklets",NA,"28",NA,543,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"9",2006,"auklets",NA,"120",NA,716,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"10",2007,"auklets",NA,"80",NA,658,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"11",2008,"auklets",NA,NA,NA,920,1.88e-06,NA,"LEAU","st_george",1,"colony_count_st_george_LEAU"
"12",2009,"auklets",NA,"69",NA,1297,1.88e-06,NA,"LEAU","st_george",2,"colony_count_st_george_LEAU"
"13",2011,"auklets",NA,"203",NA,1234,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"14",2012,"auklets",NA,"136",NA,1045,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"15",2013,"auklets",NA,"264",NA,1338,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"16",2014,"auklets",NA,"52",NA,1482,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"17",2015,"auklets",NA,"436",NA,1062,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"18",2016,"auklets",NA,"174",NA,636,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"19",2017,"auklets",NA,"60",NA,291,1.88e-06,NA,"LEAU","st_george",3,"colony_count_st_george_LEAU"
"20",1976,"fulmars",NA,NA,NA,1279,1.88e-06,NA,"NOFU","st_george",1,"colony_count_st_george_NOFU"
"21",1982,"fulmars",NA,NA,NA,920,1.88e-06,NA,"NOFU","st_george",1,"colony_count_st_george_NOFU"
"22",1986,"fulmars",NA,"137",NA,975,1.88e-06,NA,"NOFU","st_george",3,"colony_count_st_george_NOFU"
"23",1987,"fulmars",NA,"328",NA,1118,1.88e-06,NA,"NOFU","st_george",4,"colony_count_st_george_NOFU"
"24",1988,"fulmars",NA,"401",NA,1236,1.88e-06,NA,"NOFU","st_george",5,"colony_count_st_george_NOFU"
"25",1989,"fulmars",NA,"294",NA,1484,1.88e-06,NA,"NOFU","st_george",3,"colony_count_st_george_NOFU"
"26",1992,"fulmars",NA,"322",NA,2350,1.88e-06,NA,"NOFU","st_george",3,"colony_count_st_george_NOFU"
"27",1996,"fulmars",NA,"306",NA,1592,1.88e-06,NA,"NOFU","st_george",5,"colony_count_st_george_NOFU"
"28",1999,"fulmars",NA,"198",NA,582,1.88e-06,NA,"NOFU","st_george",4,"colony_count_st_george_NOFU"
"29",2002,"fulmars",NA,"460",NA,1771,1.88e-06,NA,"NOFU","st_george",7,"colony_count_st_george_NOFU"
"30",2005,"fulmars",NA,"250",NA,1457,1.88e-06,NA,"NOFU","st_george",8,"colony_count_st_george_NOFU"
"31",2008,"fulmars",NA,"73",NA,498,1.88e-06,NA,"NOFU","st_george",5,"colony_count_st_george_NOFU"
"32",2011,"fulmars",NA,"130",NA,540,1.88e-06,NA,"NOFU","st_george",4,"colony_count_st_george_NOFU"
"33",2014,"fulmars",NA,"247",NA,1830,1.88e-06,NA,"NOFU","st_george",4,"colony_count_st_george_NOFU"
"34",2017,"fulmars",NA,"87",NA,727,1.88e-06,NA,"NOFU","st_george",3,"colony_count_st_george_NOFU"
"35",1976,"kittiwakes",NA,NA,NA,1777,1.88e-06,NA,"BLKI","st_george",1,"colony_count_st_george_BLKI"
"36",1982,"kittiwakes",NA,NA,NA,1636,1.88e-06,NA,"BLKI","st_george",1,"colony_count_st_george_BLKI"
"37",1986,"kittiwakes",NA,"123",NA,1349,1.88e-06,NA,"BLKI","st_george",3,"colony_count_st_george_BLKI"
"38",1987,"kittiwakes",NA,"129",NA,1316,1.88e-06,NA,"BLKI","st_george",4,"colony_count_st_george_BLKI"
"39",1988,"kittiwakes",NA,"147",NA,1412,1.88e-06,NA,"BLKI","st_george",5,"colony_count_st_george_BLKI"
"40",1989,"kittiwakes",NA,"88",NA,1031,1.88e-06,NA,"BLKI","st_george",3,"colony_count_st_george_BLKI"
