Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
transient_killers,0,0.000282362,0.02542091,4.1,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0,0.02918474,0.05813792,11.76325,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0,0.04337785,0.063365,7.9,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0,0.3210891,0.03055975,4.206948,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0,0.02585705,0.08771439,24.83315,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,0,0.05831028,0.051293,21.6,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0,0.000268455,0.2519075,104.5098,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0,0.01043294,0.091245,48.7,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
ice_seals,0,0.02712574,0.068998,22.2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
oth_birds,0,0.000656459,0.1239672,73.18927,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
murres_puffins,0,0.008617981,0.1623509,72.05511,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
kittiwakes,0,0.000662705,0.07688104,110,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
auklets,0,0.001754495,0.1694877,110,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
fulmars,0,0.000520162,0.055,73,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
albatross,0,0.0001,0.06756634,75,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
sharks,0,0.04862,0.1,3,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pollock_juv,0,3.986381,1.453282,8.498094,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pollock_adu,0,16.13562,0.6672099,3.17,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pcod_juv,0,0.1826154,1.782069,8.881937,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pcod_adu,0,2.40963,0.4118969,2.28,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
herring,0,0.7835754,0.4806513,4.469092,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
arrowtooth_juv,0,0.007692964,0.8101363,5.786846,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
arrowtooth_adu,0,0.86244,0.18,1.16,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
kamchatka,0,0.08169633,0.1841368,1.192773,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_juv,0,0.01101035,1.700589,7.911756,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_adu,0,0.51469,0.18,1.16,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
halibut_juv,0,0.001854509,2.399714,9.333707,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
halibut_adu,0,0.22128,0.19,1.1,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
yf_sole,0,4.895598,0.1794387,0.9788004,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
fh_sole,0,1.1514,0.2748232,2.21175,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
nr_sole,0,3.172809,0.2344195,1.249749,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
ak_plaice,0,0.99298,0.2,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
oth_flatfish,0,0.3029649,0.2,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
skates,0,0.98379,0.2,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
sablefish,0,0.03255583,0.4110233,1.240642,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
eelpouts,0,2.011056,0.4,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
deep_demersals,0,0.9009857,0.1504193,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pac_ocean_perch,0,0.15215,0.1,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
oth_rockfish,0,0.04434997,0.1364036,0.907891,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
north_rockfish,0,0.02221824,0.1,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
shortraker_rock,0,0.01066,0.1,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
rougheye_rock,0,0.0028,0.1,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
atka,0,0.1436651,0.7471971,7.324665,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
shallow_demersals,0,1.969422,0.4,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
lg_sculpins,0,0.51568,0.4,2,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
octopus,0,0.1426248,0.8,3.65,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
squids,0,0.7315761,3.2,10.67,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
salmon_returning,0,0.16377,1.65,11.6,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
salmon_smolts,0,0.000505633,1.28,13.56,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
mycto_bathy,0,0.8532137,0.8,3.65,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
capelin,0,0.9046279,0.8,3.65,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
sandlance,0,2.335744,0.8,3.65,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
oth_forage,0,1.628465,0.8,3.65,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
bairdi,0,0.35824,1.601436,3.092486,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
king_crabs,0,0.20454,0.6585861,3.206973,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
opilio,0,1.51625,1.295101,3.117084,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pandalid,0,6.156531,0.5756463,2.40941,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
ben_zooplankton,0,34.99075,4.924663,24.01241,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
snails_sea_stars,0,2.91657,1.333365,6.666824,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
herb_echinoderms,0,3.478209,1.037453,5.187263,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
misc_crabs,0,2.209594,0.82,4.1,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
structural_epifauna,0,0.7153122,2.176491,10.88246,,,0,0.4,,,,,,,,,,,,,,,,,,,,,,
infauna,0,86.58165,1.750761,8.753805,,,0,0.4,,,,,,,,,,,,,,,,,,,,,,
jellyfish,0,0.947142,3.835554,11.13202,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pel_zooplankton,0,2.206168,3.63744,10.39269,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
euphausiids,0,15.55545,5.475,15.64286,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
copepods,0,23.31852,6,27.74,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,
pelagic_microbes,0,45,36.5,104.2857,,,0,0.25,,,,,,,,,,,,,,,,,,,,,,
benthic_microbes,0,21.7203,36.5,104.2857,,,0,0.25,,,,,,,,,,,,,,,,,,,,,,
lg_phytoplankton,1,4.366863,88.59781,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
sm_phytoplankton,1,39.17679,110.9194,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
discards_offal,2,,,,0.5500915,,0,0,0,,,,,,,,,,,,,,,,,,,,,
pelagic_detritus,2,,,,0.8778665,,0,0,0,,,,,,,,,,,,,,,,,,,,,
benthic_detritus,2,,,,0.9115258,,0,0,0,,,,,,,,,,,,,,,,,,,,,
trawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cod_pots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crab_pots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon_fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herring_fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
